Year,game_num,heat_top_3_pts,opponent_top_3_pts,heat_pts,opponent_pts,Spread,heat_fg_perc,opponent_fg_pct,heat_3pt_perc,opponent_3pt_perc,heat_ft_perc,opponent_ft_perc,heat_off_reb,opponent_off_reb,heat_def_reb,opponent_def_reb,heat_assists,opponent_assists,heat_blocks,opponent_blocks,heat_steals,opponent_steals,heat_turnovers,opponent_turnovers,heat_pts_paint,opponent_pts_paint,heat_fouls,opponent_fouls,location,heat_rest_days,time,opponent_rest_days,heat_num_injuries,heat_signif_injuries,opponent_num_injuries,opponent_signif_injuries,heat_winning_streak,opponent_winning_streak,opponent,win_rank,pts_rank,reb_rank,ast_rank,plus_minus_rank,opponent_team_rank,opp_mov_avg,heat_win_rank,heat_pts_rank,heat_reb_rank,heat_ast_rank,heat_plus_minus_rank,heat_team_rank,heat_mov_avg,diff_mov,won
2023,1,75,70,130,117,13,59.5,49.5,60,24.4,71.4,72.4,4,8,32,30,32,29,1,4,6,3,15,13,62,46,24,22,0,7,5.5,7,1,1,1,10,1,0,Bucks,1,8,1,12,5,96.85,96.85,11,30,27,25,21,82.4,82.4,-14.45,1
2023,2,59,71,122,138,-16,53.6,53.5,44.4,51,69.6,87.5,7,9,34,36,26,35,2,4,10,9,17,11,42,52,9,16,0,3,9,3,1,1,1,10,2,0,Bucks,2,3,7,2,10,96.9,96.875,1,1,8,1,3,98.2,90.3,-6.575,0
2023,3,65,56,121,99,22,53.6,44.7,48.5,38.5,88.2,66.7,8,8,36,29,22,22,4,3,13,7,13,18,46,36,18,15,1,3,6.5,3,2,5,1,10,0,1,Bucks,3,1,9,1,8,96.65,96.8,3,2,12,2,9,96.05,92.21666667,-4.58333333,1
2023,4,83,76,119,114,5,49.4,43.3,40.6,32.5,80,85,9,16,38,30,21,28,5,6,9,10,15,14,40,54,20,20,1,2,6.5,2,2,5,1,6,1,0,Bucks,5,4,12,2,13,94.25,96.1625,3,1,11,4,4,96.5,93.2875,-2.875,1
2023,5,84,89,128,126,2,45.5,46.2,37.8,42.4,64.7,62.2,9,10,36,46,25,20,5,1,6,4,11,15,52,48,31,21,0,2,9.5,2,2,5,1,4,2,0,Bucks,5,5,11,1,13,94.2,95.77,2,2,10,6,4,96.9,94.01,-1.76,1
2023,1,63,69,108,101,7,42.4,47.7,33.3,20.6,79.3,60,10,12,29,36,26,20,5,4,8,6,8,13,38,62,14,21,0,4,1,4,3,8,1,9,3,3,Knicks,2,14,6,16,5,94.35,94.35,2,1,12,5,7,96.8,96.8,2.45,1
2023,2,60,79,105,111,-6,44.7,45.1,34.7,40,70.6,70,8,11,26,39,24,23,2,2,1,4,6,10,38,34,24,20,0,2,7.5,2,3,10,0,0,4,0,Knicks,4,13,7,15,6,93.25,93.8,2,2,11,5,4,96.85,96.825,3.025,0
2023,3,61,49,105,86,19,38.9,34.1,21.9,20,90.3,72.7,13,14,37,34,17,15,5,3,3,4,13,13,50,36,25,22,1,3,3.5,3,1,1,0,0,0,1,Knicks,4,14,6,15,5,93.2,93.6,3,3,12,4,4,96,96.55,2.95,1
2023,4,66,76,109,101,8,47.1,48.7,33.3,32.1,72.7,75,13,8,31,27,28,21,4,4,7,5,12,16,46,50,21,23,1,2,7.5,2,1,1,0,0,1,0,Knicks,4,14,5,15,7,93.2,93.5,1,4,11,7,4,96.95,96.65,3.15,1
2023,5,54,88,103,112,-9,42,49.3,30.2,38.2,84.2,72.5,11,14,23,36,27,23,4,4,11,6,12,18,42,40,30,19,0,2,7.5,2,1,1,0,0,2,0,Knicks,6,14,5,15,7,92,93.2,1,5,11,7,3,96.8,96.68,3.48,0
2023,6,61,67,96,92,4,40.2,38,25.9,28.6,92,87.5,7,8,33,33,25,13,2,9,8,2,7,12,38,20,22,22,1,2,7.5,2,1,1,0,0,0,1,Knicks,6,14,5,15,6,92.05,93.00833333,2,6,11,6,3,96.05,96.575,3.56666667,1
2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8.5,3,1,1,0,0,1,2,Celtics,4,5,8,4,2,95.5,95.5,2,9,11,6,3,95.45,95.45,-0.05,1
2023,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.5,2,1,1,0,0,2,0,Celtics,4,5,9,5,2,95.35,95.425,2,7,11,8,3,95.75,95.6,0.175,1
2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8.5,2,1,1,0,0,3,0,Celtics,6,5,10,5,2,94.05,94.96666667,2,7,11,8,3,95.75,95.65,0.683333333,1
2023,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8.5,2,1,1,0,0,4,0,Celtics,6,7,9,5,3,93.7,94.65,2,5,11,8,2,96.2,95.7875,1.1375,0
2023,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.5,2,2,2,0,0,0,1,Celtics,6,6,9,4,3,93.95,94.51,2,7,11,8,2,95.8,95.79,1.28,0
2023,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8.5,2,1,1,0,0,0,2,Celtics,4,6,9,5,2,95.15,94.61666667,2,9,11,8,3,95.35,95.71666667,1.1,0
2023,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.5,2,1,1,0,0,0,3,Celtics,4,7,9,7,2,94.85,94.65,2,10,11,8,3,95.15,95.63571429,0.985714286,1
2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.5,10,1,1,0,0,1,6,Nuggets,1,2,7,3,1,98.1,98.1,2,10,11,8,2,95.2,95.2,-2.9,0
2023,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.5,2,1,1,0,0,0,7,Nuggets,0,0,0,0,0,98.2,98.05,0,0,0,0,0,0,0,-2.1,0
2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.5,2,1,1,0,0,1,0,Nuggets,0,0,0,0,0,98.3,98.2,0,0,0,0,0,0,0,-2.3,0
2023,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.5,2,1,1,0,0,0,1,Nuggets,0,0,0,0,0,98.4,98.3,0,0,0,0,0,0,0,-2.34,0
2023,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.5,2,1,1,0,0,0,2,Nuggets,0,0,0,0,0,98.5,98.4,0,0,0,0,0,0,0,-2.31,0
2023,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.5,2,1,1,0,0,0,3,Nuggets,0,0,0,0,0,98.5,98.45,0,0,0,0,0,0,0,-2.5,0
2021,1,66,73,107,109,-2,36.4,43.8,40,16.1,78.9,60.6,12,15,39,49,22,19,3,1,8,11,17,17,24,56,23,18,0,6,1.5,6,0,0,0,0,1,0,Bucks,7,1,2,14,3,94.55,94.55,13,25,29,9,16,83.05,83.05,-11.5,0
2021,2,53,70,98,132,-34,40.2,48.9,28.6,41.5,68.6,90,9,21,27,40,20,34,2,5,6,8,11,15,44,46,13,25,0,2,7.5,2,0,0,0,0,0,1,Bucks,1,6,1,11,7,97.2,95.875,9,16,9,14,16,89,86.025,-9.85,0
2021,3,50,58,84,113,-29,37.6,48.3,28.1,36.1,84.6,77.8,7,10,35,45,19,25,6,2,9,6,15,15,38,36,26,19,1,3,7.5,3,0,0,0,0,0,2,Bucks,1,7,1,2,2,97.7,96.48333333,13,16,12,8,15,86.65,86.23333333,-10.25,0
2021,4,52,67,103,120,-17,44,46.5,33.3,31,85.7,83.3,8,15,32,41,25,29,3,4,6,5,12,11,42,50,20,18,1,2,1.5,2,0,0,0,0,0,3,Bucks,1,6,1,1,1,98,96.8625,15,16,12,9,16,85.35,86.0125,-10.85,0
2022,1,64,41,115,91,24,52.4,38.7,47.7,27.8,61.1,85.2,4,8,36,30,35,16,3,2,12,8,15,18,38,26,22,19,1,7,1,2,4,4,3,10,0,3,Hawks,16,6,20,15,14,85.75,85.75,3,17,22,8,6,91.9,91.9,6.15,1
2022,2,74,70,115,105,10,48.1,47.1,38.9,30,86.2,78.6,4,7,30,33,21,21,6,2,9,6,14,19,38,46,24,26,1,2,7.5,2,0,0,3,10,1,0,Hawks,9,15,10,15,16,89.05,87.4,1,5,8,1,1,97.5,94.7,7.3,1
2022,3,64,59,110,111,-1,44.1,51.3,31.1,37.5,82.4,81,11,5,34,31,30,23,3,3,6,5,14,11,46,48,23,20,0,3,7,3,0,0,3,10,2,0,Hawks,13,16,10,14,15,86.55,87.11666667,1,4,12,2,2,97.2,95.53333333,8.416666667,0
2022,4,64,47,110,86,24,43.5,40,31,35.7,81,55,15,11,33,30,22,18,1,3,8,2,6,15,48,26,23,21,0,2,7,2,1,3,2,6,0,1,Hawks,9,15,11,14,13,89.15,87.625,4,5,9,2,3,95.45,95.5125,7.8875,1
